Date,,2016_11_15,,,,2016_11_15,,,,2016_11_15,,,,2016_11_16,,,,2016_11_16,,,,2016_11_16,,,,2016_11_17,,,,2016_11_17,,,,2016_11_17,,,,2016_11_18,,,,2016_11_18,,,
Time (EST),,8:30:00,,,,11:30:00,,,,14:30:00,,,,8:30:00,,,,11:30:00,,,,14:30:00,,,,8:30:00,,,,11:30:00,,,,14:30:00,,,,8:30:00,,,,11:30:00,,,
Scientific_name,Common_name,Site_36,Site_42,Site_43,Site_44,Site_6,Site_25,Site_33,Site_34,Site_1,Site_25,Site_29,Site_30,Site_36,Site_42,Site_43,Site_44,Site_6,Site_25,Site_33,Site_34,Site_1,Site_25,Site_29,Site_30,Site_36,Site_42,Site_43,Site_44,Site_6,Site_25,Site_33,Site_34,Site_1,Site_25,Site_29,Site_30,Site_36,Site_42,Site_43,Site_44,Site_6,Site_25,Site_33,Site_34
Amphipoda,Scuds,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0
Anisoptera,Dragonflies,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bivalvia,Clams_Mussels,0,0,6,0,2,0,0,7,0,0,0,0,0,0,8,0,2,0,0,0,8,0,0,0,0,0,0,N/A,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
Ceratopogondia,No-See-Ums,0,0,0,0,5,0,0,0,0,0,1,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,N/A,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Chironomidae,Midges,0,2,0,17,8,11,8,3,0,1,4,5,7,16,2,4,5,3,11,2,0,21,1,4,3,12,2,N/A,5,28,9,4,3,12,6,3,0,10,3,13,22,4,2,3
Coelenterata,Hydras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coleoptera,Beetles,1,1,2,0,0,0,0,2,0,1,0,0,2,0,8,0,0,1,1,2,0,0,0,4,0,0,1,N/A,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,3
Culicidae,Mosquitos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decapoda,Crayfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephemeroptera,Mayflies,10,3,0,0,1,3,2,2,0,9,2,0,1,1,0,0,0,2,0,1,0,5,0,0,2,0,2,N/A,2,0,0,1,0,7,1,2,4,1,0,0,5,1,2,0
Gastropoda,Snails,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemiptera,True_bugs,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,N/A,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0
Hirudinea,Leeches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrachnida,Mites ,0,0,0,0,0,0,0,0,5,2,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
Isopoda,Sow_bugs,2,0,0,2,0,5,2,1,0,0,0,0,3,0,3,2,2,5,2,0,0,1,0,0,1,1,2,N/A,0,3,2,0,0,4,2,1,5,0,0,1,0,1,0,0
Lepidoptera,Aquatic_moths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megaloptera,Fishflies_and_Alderflies,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,1,0,N/A,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Misc._Diptera,True_flies,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nematoda,Roundworms,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,7,0,0,0,0,6,1,0,0,1,0,0,0
Oligochaeta,Aquatic_earthworms,22,8,3,2,64,5,36,13,18,1,8,8,0,1,26,3,23,10,3,20,21,21,16,7,5,8,3,N/A,3,0,48,6,4,13,3,5,16,5,0,3,8,2,22,11
Plecoptera,Stoneflies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simuliidae,Black_flies,5,2,0,0,0,0,0,1,2,0,1,0,6,0,0,0,1,l,0,1,1,0,1,0,1,0,0,N/A,1,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Tabanidae,Horse_flies_Deer_flies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tipulidae,Crane_flies,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Trichoptera,Caddisflies,6,1,69,17,0,7,1,7,5,18,0,13,4,0,80,1,1,0,1,1,21,3,9,3,0,4,35,N/A,0,2,9,6,5,7,10,4,0,10,55,5,0,0,0,9
Turbellaria,Flatworms,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,N/A,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1
Zygoptera,Damselflies,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,18,0,0,0,0,1,1,0,0,N/A,3,2,1,0,0,0,0,0,0,0,0,0,7,0,0,0
